iter	Passed	Remaining
939	157317	10041
940	157458	9872
941	157634	9705
942	157809	9538
943	157974	9371
944	158113	9202
945	158264	9034
946	158437	8867
947	158599	8699
948	158736	8530
949	158903	8363
950	159071	8196
951	159228	8028
952	159407	7861
953	159569	7694
954	159713	7525
955	159900	7359
956	160066	7192
957	160240	7025
958	160378	6856
959	160565	6690
960	160735	6523
961	160891	6355
962	161066	6188
963	161227	6020
964	161426	5854
965	161627	5688
966	161804	5521
967	161975	5354
968	162166	5187
969	162353	5021
970	162554	4854
971	162713	4687
972	162868	4519
973	163075	4353
974	163247	4185
975	163434	4018
976	163612	3851
977	163777	3684
978	163964	3517
979	164143	3349
980	164281	3181
981	164453	3014
982	164593	2846
983	164750	2678
984	164940	2511
985	165109	2344
986	165284	2177
987	165458	2009
988	165639	1842
989	165825	1675
990	166005	1507
991	166156	1339
992	166322	1172
993	166488	1004
994	166674	837
995	166852	670
996	166994	502
997	167168	335
998	167361	167
999	167516	0
